   ,FUND_ID,FUND_NAME,PARENT_COMPANY_ID,PARENT_COMPANY_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,ACTUARIAL_ADJUSTMENT,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
1,1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201801,31/12/2015,0.02,0.02,0.05,0.05,1.16,,,0.71,0.71,,,,,,,,,97.3,0.17,0.21,0.13,512065202,29/05/2019
2,1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201802,31/12/2015,0.01,0,0.22,0.23,1.39,,,-0.7,0.01,,,,,,,,,97.6,0.21,0.25,0.16,512065202,29/05/2019
3,1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201803,31/12/2015,0.01,0.03,0,-0.02,1.36,,,-0.29,-0.28,-0.09,,,,,,,,97.1,0.2,0.25,0.16,512065202,29/05/2019
4,1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201804,31/12/2015,0.01,0,0.25,0.26,1.64,,,0.75,0.46,,,,,,,,,97.6,0.24,0.3,0.2,512065202,29/05/2019
5,1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201805,31/12/2015,0.02,0,0,0.02,1.66,,,0.29,0.75,,,,,,,,,97.1,0.24,0.3,0.19,512065202,29/05/2019
6,1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201806,31/12/2015,0.01,0,-0.02,-0.01,1.65,,,0.39,1.15,,,,,,,,,97.1,0.25,0.3,0.2,512065202,29/05/2019
7,1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201807,31/12/2015,0.02,0,0.04,0.06,1.72,,,0.91,2.07,,,,,,,,,97.2,0.26,0.32,0.22,512065202,29/05/2019
8,1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201809,31/12/2015,0.02,0,0.29,0.31,2.09,,,0.03,,0.08,,,,,,,,97.5,0.31,0.37,0.24,512065202,29/05/2019
9,1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201810,31/12/2015,0.02,0,0.02,0.04,2.11,,,-0.78,,,,,,,,,,97.1,0.31,0.38,0.25,512065202,29/05/2019
10,1560,"איילון מיטב פנסיה מקיפה פאסיבי- מדדי אג""ח עד 25% במדדי מניות",163,איילון מיטב פנסיה מקיפה,קרנות חדשות,"מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ",201811,31/12/2015,0.02,0,0,0.02,2.13,,,0.11,,,,,,,,,,97.1,0.31,0.38,0.25,512065202,29/05/2019
